id,hayvanId,tarih,yasAy,kilo,boy,gogusEevresi,kalcaYuksekligi,saglikDurumu,yemMiktari,sicaklik,nem,mevsim,notlar,gunlukArtis
GK000101,TR0001,2022-09-20,0,46.2,76.3,35.5,78.2,İyi,1.5,21.0,43.8,Sonbahar,"Şarole - 0 aylık, İyi sağlık",0.0
GK000102,TR0001,2022-10-20,1,89.9,78.1,74.2,78.9,İyi,2.2,27.0,60.6,Sonbahar,"Şarole - 1 aylık, İyi sağlık",1.456
GK000103,TR0001,2022-11-19,2,131.9,79.8,111.1,81.7,Normal,3.4,15.0,70.1,Sonbahar,"Şarole - 2 aylık, Normal sağlık",1.4
GK000104,TR0001,2022-12-19,3,176.8,81.6,148.5,80.2,İyi,4.9,15.5,59.8,Kış,"Şarole - 3 aylık, İyi sağlık",1.497
GK000105,TR0001,2023-01-18,4,217.2,83.2,181.5,85.8,İyi,5.1,26.7,48.9,Kış,"Şarole - 4 aylık, İyi sağlık",1.346
GK000106,TR0001,2023-02-17,5,257.0,84.8,215.6,85.5,İyi,6.6,32.1,46.1,Kış,"Şarole - 5 aylık, İyi sağlık",1.325
GK000107,TR0001,2023-03-19,6,305.2,86.7,263.3,88.5,Mükemmel,8.0,34.5,79.6,İlkbahar,"Şarole - 6 aylık, Mükemmel sağlık",1.608
GK000108,TR0001,2023-04-18,7,342.6,88.2,293.2,87.8,Zayıf,9.1,15.4,75.7,İlkbahar,"Şarole - 7 aylık, Zayıf sağlık",1.246
GK000109,TR0001,2023-05-18,8,383.7,89.8,323.7,92.6,İyi,9.8,29.5,70.5,İlkbahar,"Şarole - 8 aylık, İyi sağlık",1.37
GK000110,TR0001,2023-06-17,9,420.3,91.3,359.8,90.3,İyi,10.1,20.5,59.3,Yaz,"Şarole - 9 aylık, İyi sağlık",1.219
GK000111,TR0001,2023-07-17,10,458.6,92.8,385.0,91.7,İyi,11.7,32.2,52.4,Yaz,"Şarole - 10 aylık, İyi sağlık",1.277
GK000112,TR0001,2023-08-16,11,495.3,94.3,425.9,93.1,Mükemmel,12.7,24.2,68.2,Yaz,"Şarole - 11 aylık, Mükemmel sağlık",1.226
GK000113,TR0001,2023-09-15,12,524.0,95.5,448.5,98.3,Hasta,12.8,21.3,64.4,Sonbahar,"Şarole - 12 aylık, Hasta sağlık",0.954
GK000114,TR0001,2023-10-15,13,561.4,97.0,473.6,97.5,İyi,13.9,18.8,79.8,Sonbahar,"Şarole - 13 aylık, İyi sağlık",1.248
GK000115,TR0001,2023-11-14,14,599.4,98.5,510.8,101.2,Mükemmel,14.7,20.6,77.9,Sonbahar,"Şarole - 14 aylık, Mükemmel sağlık",1.266
GK000116,TR0001,2023-12-14,15,632.8,99.8,539.1,100.1,İyi,16.0,19.1,43.2,Kış,"Şarole - 15 aylık, İyi sağlık",1.113
GK000117,TR0001,2024-01-13,16,667.1,101.2,570.1,102.0,Mükemmel,16.3,22.7,63.6,Kış,"Şarole - 16 aylık, Mükemmel sağlık",1.144
GK000118,TR0001,2024-02-12,17,696.1,102.3,595.0,104.2,Zayıf,17.8,18.4,54.1,Kış,"Şarole - 17 aylık, Zayıf sağlık",0.965
GK000119,TR0001,2024-03-13,18,726.7,103.6,615.9,102.2,Normal,18.0,28.7,76.4,İlkbahar,"Şarole - 18 aylık, Normal sağlık",1.021
GK000120,TR0001,2024-04-12,19,761.1,104.9,646.7,103.0,İyi,18.8,34.5,46.3,İlkbahar,"Şarole - 19 aylık, İyi sağlık",1.148
GK000121,TR0001,2024-05-12,20,795.3,106.3,672.2,108.4,Mükemmel,20.1,29.5,53.4,İlkbahar,"Şarole - 20 aylık, Mükemmel sağlık",1.139
GK000122,TR0001,2024-06-11,21,825.3,107.5,704.7,108.7,İyi,20.2,24.7,56.9,Yaz,"Şarole - 21 aylık, İyi sağlık",1.001
GK000123,TR0001,2024-07-11,22,845.3,108.3,722.1,106.9,Hasta,21.4,31.7,69.4,Yaz,"Şarole - 22 aylık, Hasta sağlık",0.666
GK000124,TR0001,2024-08-10,23,871.8,109.4,741.3,109.7,İyi,22.2,32.5,73.4,Yaz,"Şarole - 23 aylık, İyi sağlık",0.884
GK000201,TR0002,2024-07-31,0,39.5,82.4,29.7,83.1,Normal,1.1,18.1,45.2,Yaz,"Esmer - 0 aylık, Normal sağlık",0.0
GK000202,TR0002,2024-08-30,1,80.6,84.1,66.8,85.0,İyi,2.2,20.9,66.8,Yaz,"Esmer - 1 aylık, İyi sağlık",1.369
GK000203,TR0002,2024-09-29,2,120.9,85.7,99.8,85.4,İyi,3.3,26.3,55.8,Sonbahar,"Esmer - 2 aylık, İyi sağlık",1.343
GK000204,TR0002,2024-10-29,3,151.1,86.9,129.4,89.6,Hasta,3.5,34.7,61.1,Sonbahar,"Esmer - 3 aylık, Hasta sağlık",1.007
GK000205,TR0002,2024-11-28,4,179.1,88.0,152.3,86.0,Hasta,4.2,30.6,62.4,Sonbahar,"Esmer - 4 aylık, Hasta sağlık",0.933
GK000206,TR0002,2024-12-28,5,218.5,89.6,181.6,89.3,İyi,5.5,15.3,50.1,Kış,"Esmer - 5 aylık, İyi sağlık",1.312
GK000207,TR0002,2025-01-27,6,253.0,91.0,217.7,91.9,Normal,6.8,29.4,63.6,Kış,"Esmer - 6 aylık, Normal sağlık",1.152
GK000208,TR0002,2025-02-26,7,287.8,92.3,249.0,94.0,İyi,7.3,32.5,40.9,Kış,"Esmer - 7 aylık, İyi sağlık",1.159
GK000209,TR0002,2025-03-28,8,325.9,93.9,274.8,95.4,Normal,8.2,32.3,62.7,İlkbahar,"Esmer - 8 aylık, Normal sağlık",1.272
GK000210,TR0002,2025-04-27,9,365.7,95.5,309.3,95.7,Mükemmel,9.0,33.7,43.1,İlkbahar,"Esmer - 9 aylık, Mükemmel sağlık",1.325
GK000301,TR0003,2024-02-06,0,40.2,76.1,34.7,77.9,Normal,1.1,20.8,60.0,Kış,"Siyah Alaca - 0 aylık, Normal sağlık",0.0
GK000302,TR0003,2024-03-07,1,87.7,78.0,73.8,76.1,İyi,1.8,18.5,45.0,İlkbahar,"Siyah Alaca - 1 aylık, İyi sağlık",1.585
GK000303,TR0003,2024-04-06,2,134.7,79.9,111.3,82.5,İyi,3.9,18.0,45.1,İlkbahar,"Siyah Alaca - 2 aylık, İyi sağlık",1.567
GK000304,TR0003,2024-05-06,3,179.0,81.7,156.2,79.7,Normal,4.9,30.2,44.0,İlkbahar,"Siyah Alaca - 3 aylık, Normal sağlık",1.477
GK000305,TR0003,2024-06-05,4,217.0,83.2,180.7,85.5,Normal,5.9,33.0,52.1,Yaz,"Siyah Alaca - 4 aylık, Normal sağlık",1.266
GK000306,TR0003,2024-07-05,5,255.8,84.7,215.2,84.9,Normal,6.0,16.6,46.3,Yaz,"Siyah Alaca - 5 aylık, Normal sağlık",1.293
GK000307,TR0003,2024-08-04,6,293.1,86.2,249.7,87.4,Normal,7.6,19.5,51.3,Yaz,"Siyah Alaca - 6 aylık, Normal sağlık",1.245
GK000308,TR0003,2024-09-03,7,337.8,88.0,289.9,86.9,Mükemmel,8.8,24.0,54.2,Sonbahar,"Siyah Alaca - 7 aylık, Mükemmel sağlık",1.49
GK000309,TR0003,2024-10-03,8,379.3,89.7,318.5,90.0,İyi,9.9,25.1,65.1,Sonbahar,"Siyah Alaca - 8 aylık, İyi sağlık",1.381
GK000310,TR0003,2024-11-02,9,420.8,91.3,361.1,93.8,Mükemmel,10.5,16.7,71.5,Sonbahar,"Siyah Alaca - 9 aylık, Mükemmel sağlık",1.384
GK000311,TR0003,2024-12-02,10,460.2,92.9,396.1,94.8,Mükemmel,11.4,30.1,59.4,Kış,"Siyah Alaca - 10 aylık, Mükemmel sağlık",1.313
GK000312,TR0003,2025-01-01,11,498.5,94.5,420.1,95.1,İyi,12.0,19.7,59.9,Kış,"Siyah Alaca - 11 aylık, İyi sağlık",1.278
GK000313,TR0003,2025-01-31,12,530.1,95.7,445.6,97.8,Zayıf,13.1,22.4,47.1,Kış,"Siyah Alaca - 12 aylık, Zayıf sağlık",1.052
GK000314,TR0003,2025-03-02,13,566.5,97.2,483.7,96.0,Normal,14.2,20.9,43.0,İlkbahar,"Siyah Alaca - 13 aylık, Normal sağlık",1.212
GK000315,TR0003,2025-04-01,14,592.9,98.2,501.1,100.8,Hasta,14.3,19.2,68.6,İlkbahar,"Siyah Alaca - 14 aylık, Hasta sağlık",0.88
GK000316,TR0003,2025-05-01,15,629.5,99.7,532.9,100.4,İyi,15.5,23.0,42.4,İlkbahar,"Siyah Alaca - 15 aylık, İyi sağlık",1.221
GK000401,TR0004,2024-05-08,0,43.8,79.4,36.0,78.1,Normal,1.0,25.1,76.1,İlkbahar,"Siyah Alaca - 0 aylık, Normal sağlık",0.0
GK000402,TR0004,2024-06-07,1,88.4,81.1,71.8,79.5,İyi,2.3,18.2,67.9,Yaz,"Siyah Alaca - 1 aylık, İyi sağlık",1.487
GK000403,TR0004,2024-07-07,2,130.2,82.8,105.7,84.5,İyi,3.1,29.8,44.4,Yaz,"Siyah Alaca - 2 aylık, İyi sağlık",1.395
GK000404,TR0004,2024-08-06,3,175.1,84.6,149.8,84.6,Mükemmel,4.7,22.6,52.9,Yaz,"Siyah Alaca - 3 aylık, Mükemmel sağlık",1.495
GK000405,TR0004,2024-09-05,4,213.5,86.1,176.7,88.4,Zayıf,4.9,18.8,65.3,Sonbahar,"Siyah Alaca - 4 aylık, Zayıf sağlık",1.28
GK000406,TR0004,2024-10-05,5,259.6,88.0,219.0,90.7,Mükemmel,6.2,22.2,71.3,Sonbahar,"Siyah Alaca - 5 aylık, Mükemmel sağlık",1.536
GK000407,TR0004,2024-11-04,6,301.0,89.6,259.6,88.2,Normal,7.2,26.3,65.7,Sonbahar,"Siyah Alaca - 6 aylık, Normal sağlık",1.38
GK000408,TR0004,2024-12-04,7,341.7,91.3,293.3,94.1,İyi,8.2,27.0,40.9,Kış,"Siyah Alaca - 7 aylık, İyi sağlık",1.357
GK000409,TR0004,2025-01-03,8,382.5,92.9,325.2,95.5,İyi,9.3,22.7,70.1,Kış,"Siyah Alaca - 8 aylık, İyi sağlık",1.36
GK000410,TR0004,2025-02-02,9,422.4,94.5,355.9,97.3,Mükemmel,10.6,21.6,46.8,Kış,"Siyah Alaca - 9 aylık, Mükemmel sağlık",1.329
GK000411,TR0004,2025-03-04,10,461.5,96.1,395.3,94.5,İyi,11.1,24.9,73.1,İlkbahar,"Siyah Alaca - 10 aylık, İyi sağlık",1.306
GK000412,TR0004,2025-04-03,11,502.3,97.7,431.9,95.7,Mükemmel,12.2,27.8,69.0,İlkbahar,"Siyah Alaca - 11 aylık, Mükemmel sağlık",1.36
GK000413,TR0004,2025-05-03,12,541.8,99.3,462.8,98.2,İyi,13.6,19.8,48.5,İlkbahar,"Siyah Alaca - 12 aylık, İyi sağlık",1.317
GK000501,TR0005,2022-09-03,0,49.7,81.4,44.9,81.1,İyi,1.6,23.7,64.3,Sonbahar,"Simental - 0 aylık, İyi sağlık",0.0
GK000502,TR0005,2022-10-03,1,95.8,83.3,85.0,83.9,Zayıf,2.5,18.1,41.7,Sonbahar,"Simental - 1 aylık, Zayıf sağlık",1.537
GK000503,TR0005,2022-11-02,2,147.2,85.3,120.5,83.7,Normal,3.2,22.4,52.7,Sonbahar,"Simental - 2 aylık, Normal sağlık",1.714
GK000504,TR0005,2022-12-02,3,195.6,87.3,168.3,86.9,Normal,5.1,29.4,58.1,Kış,"Simental - 3 aylık, Normal sağlık",1.611
GK000505,TR0005,2023-01-01,4,239.1,89.0,202.8,87.2,Normal,5.5,17.0,56.2,Kış,"Simental - 4 aylık, Normal sağlık",1.452
GK000506,TR0005,2023-01-31,5,284.7,90.8,242.2,90.9,İyi,6.9,19.0,70.9,Kış,"Simental - 5 aylık, İyi sağlık",1.52
GK000507,TR0005,2023-03-02,6,326.7,92.5,280.2,95.4,Zayıf,8.0,20.6,64.7,İlkbahar,"Simental - 6 aylık, Zayıf sağlık",1.399
