yas_gun,cinsiyet_encoded,dogumKilo,boy,gogusEevresi,kalcaYuksekligi,yemMiktari,sicaklik,nem,saglik_encoded,mevsim_encoded,irk_Esmer,irk_Simental,irk_Siyah Alaca,irk_Yerli Kara,irk_Şarole,kilo,gunlukArtis,hayvanId,yasAy
0,0,46.2,76.3,35.5,78.2,1.5,21.0,43.8,3,3,False,False,False,False,True,46.2,0.0,TR0001,0
30,0,46.2,78.1,74.2,78.9,2.2,27.0,60.6,3,3,False,False,False,False,True,89.9,1.456,TR0001,1
60,0,46.2,79.8,111.1,81.7,3.4,15.0,70.1,2,3,False,False,False,False,True,131.9,1.4,TR0001,2
90,0,46.2,81.6,148.5,80.2,4.9,15.5,59.8,3,0,False,False,False,False,True,176.8,1.497,TR0001,3
120,0,46.2,83.2,181.5,85.8,5.1,26.7,48.9,3,0,False,False,False,False,True,217.2,1.346,TR0001,4
150,0,46.2,84.8,215.6,85.5,6.6,32.1,46.1,3,0,False,False,False,False,True,257.0,1.325,TR0001,5
180,0,46.2,86.7,263.3,88.5,8.0,34.5,79.6,4,1,False,False,False,False,True,305.2,1.608,TR0001,6
210,0,46.2,88.2,293.2,87.8,9.1,15.4,75.7,1,1,False,False,False,False,True,342.6,1.246,TR0001,7
240,0,46.2,89.8,323.7,92.6,9.8,29.5,70.5,3,1,False,False,False,False,True,383.7,1.37,TR0001,8
270,0,46.2,91.3,359.8,90.3,10.1,20.5,59.3,3,2,False,False,False,False,True,420.3,1.219,TR0001,9
300,0,46.2,92.8,385.0,91.7,11.7,32.2,52.4,3,2,False,False,False,False,True,458.6,1.277,TR0001,10
330,0,46.2,94.3,425.9,93.1,12.7,24.2,68.2,4,2,False,False,False,False,True,495.3,1.226,TR0001,11
360,0,46.2,95.5,448.5,98.3,12.8,21.3,64.4,0,3,False,False,False,False,True,524.0,0.954,TR0001,12
390,0,46.2,97.0,473.6,97.5,13.9,18.8,79.8,3,3,False,False,False,False,True,561.4,1.248,TR0001,13
420,0,46.2,98.5,510.8,101.2,14.7,20.6,77.9,4,3,False,False,False,False,True,599.4,1.266,TR0001,14
450,0,46.2,99.8,539.1,100.1,16.0,19.1,43.2,3,0,False,False,False,False,True,632.8,1.113,TR0001,15
480,0,46.2,101.2,570.1,102.0,16.3,22.7,63.6,4,0,False,False,False,False,True,667.1,1.144,TR0001,16
510,0,46.2,102.3,595.0,104.2,17.8,18.4,54.1,1,0,False,False,False,False,True,696.1,0.965,TR0001,17
540,0,46.2,103.6,615.9,102.2,18.0,28.7,76.4,2,1,False,False,False,False,True,726.7,1.021,TR0001,18
570,0,46.2,104.9,646.7,103.0,18.8,34.5,46.3,3,1,False,False,False,False,True,761.1,1.148,TR0001,19
600,0,46.2,106.3,672.2,108.4,20.1,29.5,53.4,4,1,False,False,False,False,True,795.3,1.139,TR0001,20
630,0,46.2,107.5,704.7,108.7,20.2,24.7,56.9,3,2,False,False,False,False,True,825.3,1.001,TR0001,21
660,0,46.2,108.3,722.1,106.9,21.4,31.7,69.4,0,2,False,False,False,False,True,845.3,0.666,TR0001,22
690,0,46.2,109.4,741.3,109.7,22.2,32.5,73.4,3,2,False,False,False,False,True,871.8,0.884,TR0001,23
0,0,39.5,82.4,29.7,83.1,1.1,18.1,45.2,2,2,True,False,False,False,False,39.5,0.0,TR0002,0
30,0,39.5,84.1,66.8,85.0,2.2,20.9,66.8,3,2,True,False,False,False,False,80.6,1.369,TR0002,1
60,0,39.5,85.7,99.8,85.4,3.3,26.3,55.8,3,3,True,False,False,False,False,120.9,1.343,TR0002,2
90,0,39.5,86.9,129.4,89.6,3.5,34.7,61.1,0,3,True,False,False,False,False,151.1,1.007,TR0002,3
120,0,39.5,88.0,152.3,86.0,4.2,30.6,62.4,0,3,True,False,False,False,False,179.1,0.933,TR0002,4
150,0,39.5,89.6,181.6,89.3,5.5,15.3,50.1,3,0,True,False,False,False,False,218.5,1.312,TR0002,5
180,0,39.5,91.0,217.7,91.9,6.8,29.4,63.6,2,0,True,False,False,False,False,253.0,1.152,TR0002,6
210,0,39.5,92.3,249.0,94.0,7.3,32.5,40.9,3,0,True,False,False,False,False,287.8,1.159,TR0002,7
240,0,39.5,93.9,274.8,95.4,8.2,32.3,62.7,2,1,True,False,False,False,False,325.9,1.272,TR0002,8
270,0,39.5,95.5,309.3,95.7,9.0,33.7,43.1,4,1,True,False,False,False,False,365.7,1.325,TR0002,9
0,0,40.2,76.1,34.7,77.9,1.1,20.8,60.0,2,0,False,False,True,False,False,40.2,0.0,TR0003,0
30,0,40.2,78.0,73.8,76.1,1.8,18.5,45.0,3,1,False,False,True,False,False,87.7,1.585,TR0003,1
60,0,40.2,79.9,111.3,82.5,3.9,18.0,45.1,3,1,False,False,True,False,False,134.7,1.567,TR0003,2
90,0,40.2,81.7,156.2,79.7,4.9,30.2,44.0,2,1,False,False,True,False,False,179.0,1.477,TR0003,3
120,0,40.2,83.2,180.7,85.5,5.9,33.0,52.1,2,2,False,False,True,False,False,217.0,1.266,TR0003,4
150,0,40.2,84.7,215.2,84.9,6.0,16.6,46.3,2,2,False,False,True,False,False,255.8,1.293,TR0003,5
180,0,40.2,86.2,249.7,87.4,7.6,19.5,51.3,2,2,False,False,True,False,False,293.1,1.245,TR0003,6
210,0,40.2,88.0,289.9,86.9,8.8,24.0,54.2,4,3,False,False,True,False,False,337.8,1.49,TR0003,7
240,0,40.2,89.7,318.5,90.0,9.9,25.1,65.1,3,3,False,False,True,False,False,379.3,1.381,TR0003,8
270,0,40.2,91.3,361.1,93.8,10.5,16.7,71.5,4,3,False,False,True,False,False,420.8,1.384,TR0003,9
300,0,40.2,92.9,396.1,94.8,11.4,30.1,59.4,4,0,False,False,True,False,False,460.2,1.313,TR0003,10
330,0,40.2,94.5,420.1,95.1,12.0,19.7,59.9,3,0,False,False,True,False,False,498.5,1.278,TR0003,11
360,0,40.2,95.7,445.6,97.8,13.1,22.4,47.1,1,0,False,False,True,False,False,530.1,1.052,TR0003,12
390,0,40.2,97.2,483.7,96.0,14.2,20.9,43.0,2,1,False,False,True,False,False,566.5,1.212,TR0003,13
420,0,40.2,98.2,501.1,100.8,14.3,19.2,68.6,0,1,False,False,True,False,False,592.9,0.88,TR0003,14
450,0,40.2,99.7,532.9,100.4,15.5,23.0,42.4,3,1,False,False,True,False,False,629.5,1.221,TR0003,15
0,0,43.8,79.4,36.0,78.1,1.0,25.1,76.1,2,1,False,False,True,False,False,43.8,0.0,TR0004,0
30,0,43.8,81.1,71.8,79.5,2.3,18.2,67.9,3,2,False,False,True,False,False,88.4,1.487,TR0004,1
60,0,43.8,82.8,105.7,84.5,3.1,29.8,44.4,3,2,False,False,True,False,False,130.2,1.395,TR0004,2
90,0,43.8,84.6,149.8,84.6,4.7,22.6,52.9,4,2,False,False,True,False,False,175.1,1.495,TR0004,3
120,0,43.8,86.1,176.7,88.4,4.9,18.8,65.3,1,3,False,False,True,False,False,213.5,1.28,TR0004,4
150,0,43.8,88.0,219.0,90.7,6.2,22.2,71.3,4,3,False,False,True,False,False,259.6,1.536,TR0004,5
180,0,43.8,89.6,259.6,88.2,7.2,26.3,65.7,2,3,False,False,True,False,False,301.0,1.38,TR0004,6
210,0,43.8,91.3,293.3,94.1,8.2,27.0,40.9,3,0,False,False,True,False,False,341.7,1.357,TR0004,7
240,0,43.8,92.9,325.2,95.5,9.3,22.7,70.1,3,0,False,False,True,False,False,382.5,1.36,TR0004,8
270,0,43.8,94.5,355.9,97.3,10.6,21.6,46.8,4,0,False,False,True,False,False,422.4,1.329,TR0004,9
300,0,43.8,96.1,395.3,94.5,11.1,24.9,73.1,3,1,False,False,True,False,False,461.5,1.306,TR0004,10
330,0,43.8,97.7,431.9,95.7,12.2,27.8,69.0,4,1,False,False,True,False,False,502.3,1.36,TR0004,11
360,0,43.8,99.3,462.8,98.2,13.6,19.8,48.5,3,1,False,False,True,False,False,541.8,1.317,TR0004,12
0,1,49.7,81.4,44.9,81.1,1.6,23.7,64.3,3,3,False,True,False,False,False,49.7,0.0,TR0005,0
30,1,49.7,83.3,85.0,83.9,2.5,18.1,41.7,1,3,False,True,False,False,False,95.8,1.537,TR0005,1
60,1,49.7,85.3,120.5,83.7,3.2,22.4,52.7,2,3,False,True,False,False,False,147.2,1.714,TR0005,2
90,1,49.7,87.3,168.3,86.9,5.1,29.4,58.1,2,0,False,True,False,False,False,195.6,1.611,TR0005,3
120,1,49.7,89.0,202.8,87.2,5.5,17.0,56.2,2,0,False,True,False,False,False,239.1,1.452,TR0005,4
150,1,49.7,90.8,242.2,90.9,6.9,19.0,70.9,3,0,False,True,False,False,False,284.7,1.52,TR0005,5
180,1,49.7,92.5,280.2,95.4,8.0,20.6,64.7,1,1,False,True,False,False,False,326.7,1.399,TR0005,6
210,1,49.7,94.4,321.7,94.0,9.7,27.6,79.9,2,1,False,True,False,False,False,374.4,1.588,TR0005,7
240,1,49.7,96.3,354.8,96.3,10.3,21.9,68.9,3,1,False,True,False,False,False,420.3,1.532,TR0005,8
270,1,49.7,98.3,401.7,98.0,11.6,16.3,62.7,4,1,False,True,False,False,False,470.9,1.687,TR0005,9
300,1,49.7,99.9,433.9,102.0,13.1,32.3,41.0,3,2,False,True,False,False,False,512.0,1.37,TR0005,10
330,1,49.7,101.4,471.8,104.2,13.7,30.5,53.7,2,2,False,True,False,False,False,549.4,1.245,TR0005,11
360,1,49.7,102.9,500.4,102.0,14.9,24.7,41.3,2,2,False,True,False,False,False,586.8,1.247,TR0005,12
390,1,49.7,104.6,533.8,103.6,15.9,26.6,69.3,3,3,False,True,False,False,False,627.9,1.37,TR0005,13
420,1,49.7,106.2,565.4,107.8,16.4,25.8,77.4,3,3,False,True,False,False,False,668.1,1.339,TR0005,14
450,1,49.7,107.7,598.8,107.1,18.2,19.8,67.0,3,3,False,True,False,False,False,707.3,1.308,TR0005,15
480,1,49.7,109.3,636.5,109.5,18.3,21.0,56.6,4,0,False,True,False,False,False,747.0,1.322,TR0005,16
510,1,49.7,110.8,669.7,113.4,19.8,30.4,79.4,4,0,False,True,False,False,False,784.0,1.234,TR0005,17
540,1,49.7,112.0,690.2,112.6,20.4,32.5,77.0,1,0,False,True,False,False,False,814.0,1.001,TR0005,18
570,1,49.7,113.6,727.9,113.2,21.7,34.4,71.5,4,1,False,True,False,False,False,853.4,1.311,TR0005,19
600,1,49.7,115.0,752.5,115.0,22.5,26.1,54.8,3,1,False,True,False,False,False,888.8,1.181,TR0005,20
630,1,49.7,116.4,783.1,115.8,22.8,31.8,53.1,4,1,False,True,False,False,False,924.9,1.203,TR0005,21
660,1,49.7,117.8,817.9,118.0,24.4,23.1,49.5,4,2,False,True,False,False,False,958.0,1.104,TR0005,22
690,1,49.7,119.1,839.2,120.4,24.6,27.5,66.9,4,2,False,True,False,False,False,990.4,1.081,TR0005,23
0,1,36.3,81.3,27.8,80.2,0.7,22.5,59.9,2,3,True,False,False,False,False,36.3,0.0,TR0006,0
30,1,36.3,83.1,71.2,85.4,2.4,28.3,71.7,3,0,True,False,False,False,False,81.5,1.508,TR0006,1
60,1,36.3,84.6,104.2,85.5,3.4,15.5,46.4,1,0,True,False,False,False,False,120.0,1.281,TR0006,2
90,1,36.3,86.4,141.3,88.4,4.5,28.0,53.8,3,0,True,False,False,False,False,164.4,1.481,TR0006,3
120,1,36.3,88.2,176.6,87.8,5.2,23.5,71.0,2,1,True,False,False,False,False,208.5,1.471,TR0006,4
150,1,36.3,90.1,220.4,89.5,6.0,30.8,42.2,4,1,True,False,False,False,False,257.8,1.641,TR0006,5
180,1,36.3,91.8,257.1,90.7,7.8,27.5,65.2,2,1,True,False,False,False,False,298.9,1.371,TR0006,6
0,0,32.3,73.3,26.4,72.2,1.2,33.6,53.2,1,0,False,False,False,True,False,32.3,0.0,TR0007,0
30,0,32.3,75.0,62.1,77.6,2.2,17.5,58.4,2,1,False,False,False,True,False,75.7,1.446,TR0007,1
60,0,32.3,76.5,93.4,76.7,2.7,17.4,53.5,1,1,False,False,False,True,False,113.5,1.26,TR0007,2
90,0,32.3,78.2,132.0,77.6,4.0,18.7,54.5,2,1,False,False,False,True,False,154.7,1.376,TR0007,3
120,0,32.3,79.4,154.8,77.8,4.5,21.9,50.3,1,2,False,False,False,True,False,186.1,1.044,TR0007,4
150,0,32.3,80.9,193.4,80.5,5.1,31.6,75.4,3,2,False,False,False,True,False,222.6,1.219,TR0007,5
180,0,32.3,82.4,227.0,83.2,6.5,30.9,64.3,3,2,False,False,False,True,False,261.4,1.292,TR0007,6
210,0,32.3,84.1,258.3,84.4,7.6,16.6,41.8,4,3,False,False,False,True,False,303.9,1.416,TR0007,7
240,0,32.3,85.5,287.9,88.0,8.5,34.0,68.8,1,3,False,False,False,True,False,337.4,1.119,TR0007,8
270,0,32.3,86.9,317.5,85.0,9.5,19.9,50.9,3,3,False,False,False,True,False,373.7,1.208,TR0007,9
300,0,32.3,88.4,347.3,87.9,9.9,25.4,66.1,3,0,False,False,False,True,False,410.3,1.219,TR0007,10
330,0,32.3,89.7,377.3,90.3,10.7,30.1,41.8,3,0,False,False,False,True,False,443.8,1.119,TR0007,11
360,0,32.3,91.0,408.0,90.0,12.1,32.5,55.5,3,0,False,False,False,True,False,476.1,1.074,TR0007,12
390,0,32.3,92.6,438.7,94.7,13.3,24.3,69.0,4,1,False,False,False,True,False,515.1,1.299,TR0007,13
420,0,32.3,94.1,471.2,95.7,14.1,25.4,42.5,4,1,False,False,False,True,False,552.5,1.247,TR0007,14
0,1,51.1,71.4,39.8,73.1,0.9,23.4,55.0,1,3,False,False,False,False,True,51.1,0.0,TR0008,0
30,1,51.1,73.3,80.0,74.6,2.2,29.7,48.1,2,0,False,False,False,False,True,97.7,1.555,TR0008,1
60,1,51.1,75.2,122.0,77.2,4.0,30.4,73.6,2,0,False,False,False,False,True,145.8,1.603,TR0008,2
90,1,51.1,76.8,153.5,76.7,4.2,27.0,46.6,1,0,False,False,False,False,True,185.2,1.315,TR0008,3
120,1,51.1,78.7,202.0,80.6,5.9,22.4,65.5,2,1,False,False,False,False,True,232.2,1.567,TR0008,4
